temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,Actual_Risk,ML_Prediction,Critical_Danger_Probability,High_Risk_Probability,Moderate_Risk_Probability,Safe_Probability,V2_Prediction,V2_Escalated
34.36,92.65,1000.24,205.21,467.19,44.64,0.07,1,1,0.0,0.99,0.01,0.0,1,False
26.03,57.34,1009.0,167.59,116.76,112.91,2.18,0,0,0.97,0.03,0.0,0.0,0,True
26.9,72.45,1017.01,160.23,106.89,97.01,3.33,0,0,0.83,0.17,0.0,0.0,0,True
32.78,85.39,1008.37,391.19,397.85,45.28,0.06,1,1,0.0,0.96,0.04,0.0,1,False
33.78,92.24,1006.34,258.65,459.6,39.46,0.15,1,1,0.0,1.0,0.0,0.0,1,False
28.3,59.29,1003.37,3910.57,110.48,58.12,0.25,0,0,0.99,0.01,0.0,0.0,0,True
33.33,93.65,1011.64,442.59,428.28,44.46,0.08,1,1,0.01,0.96,0.03,0.0,1,False
24.29,65.51,1016.95,137.01,93.64,94.89,4.64,1,0,0.74,0.26,0.0,0.0,0,True
23.05,59.64,1009.35,202.65,50.01,54.73,0.16,3,3,0.01,0.0,0.0,0.99,3,False
23.95,58.88,1011.14,203.77,119.43,101.45,3.92,0,0,0.89,0.11,0.0,0.0,0,True
53.99,47.58,999.15,890.45,280.94,68.9,0.31,0,0,0.9,0.1,0.0,0.0,0,True
26.13,58.63,1013.28,271.66,78.47,74.06,3.24,1,1,0.21,0.79,0.0,0.0,1,False
55.84,44.13,1015.11,811.86,256.09,55.96,0.31,0,0,0.9,0.1,0.0,0.0,0,True
29.27,60.38,1008.16,299.2,107.57,86.12,4.37,1,1,0.22,0.77,0.0,0.01,1,False
42.65,42.28,1005.62,453.17,389.75,81.48,0.33,1,1,0.33,0.67,0.0,0.0,1,False
25.44,60.59,1013.69,143.31,45.11,51.38,0.18,3,3,0.0,0.0,0.0,1.0,3,False
28.07,67.71,1017.31,251.96,94.95,75.62,5.22,1,1,0.11,0.88,0.0,0.01,1,False
23.07,70.73,1016.28,190.68,59.97,54.81,0.24,3,3,0.0,0.0,0.0,1.0,3,False
26.33,50.92,1012.81,190.26,59.7,56.18,0.06,3,3,0.0,0.01,0.0,0.99,3,False
28.18,54.85,1006.46,1142.98,189.06,66.45,0.29,0,0,0.59,0.41,0.0,0.0,0,True
46.18,43.7,1009.79,948.34,475.06,67.07,0.44,0,0,1.0,0.0,0.0,0.0,0,True
25.24,55.04,1007.09,1924.2,161.13,64.94,0.21,1,0,0.69,0.31,0.0,0.0,0,True
24.88,57.52,1016.19,188.98,97.37,62.15,0.06,3,3,0.04,0.02,0.0,0.94,3,False
21.07,63.89,1012.88,201.14,43.76,107.25,4.4,0,0,0.96,0.04,0.0,0.0,0,True
52.44,37.48,1004.25,299.17,660.58,68.15,0.44,0,0,0.98,0.02,0.0,0.0,0,True
33.4,86.86,1003.58,357.09,210.02,51.05,0.12,2,2,0.0,0.03,0.97,0.0,2,False
27.15,57.7,1001.17,1631.9,80.48,66.51,0.33,0,0,0.53,0.45,0.0,0.02,0,True
25.37,64.97,1012.28,4763.04,103.35,45.4,0.21,0,0,0.91,0.02,0.0,0.07,0,True
26.38,67.72,1008.06,1432.56,135.72,67.85,0.33,0,0,0.62,0.38,0.0,0.0,0,True
28.21,57.54,1007.72,1365.3,187.07,62.73,0.32,0,0,0.73,0.27,0.0,0.0,0,True
27.17,73.79,1016.04,130.23,69.01,80.95,4.21,1,1,0.05,0.91,0.0,0.04,1,False
25.26,55.98,1012.51,216.75,85.15,117.1,4.84,0,0,1.0,0.0,0.0,0.0,0,True
23.72,51.4,1010.99,71.65,35.22,54.76,0.07,3,3,0.01,0.0,0.0,0.99,3,False
29.52,68.04,1008.83,219.78,87.22,85.98,4.32,1,1,0.19,0.8,0.0,0.01,1,False
28.5,72.67,1013.53,287.78,73.9,84.43,3.48,1,1,0.07,0.92,0.0,0.01,1,False
22.2,61.79,1018.35,41.49,98.75,66.21,0.09,3,3,0.07,0.06,0.0,0.87,3,False
21.48,62.55,1013.44,100.28,50.83,71.69,5.59,1,1,0.03,0.92,0.0,0.05,1,False
21.33,70.71,1010.9,157.63,69.54,81.35,5.72,1,1,0.02,0.98,0.0,0.0,1,False
32.33,83.23,1005.16,298.59,526.48,50.55,0.09,1,1,0.0,0.98,0.02,0.0,1,False
21.1,67.85,1011.56,150.3,83.53,57.42,0.14,3,3,0.0,0.0,0.0,1.0,3,False
30.3,92.8,1006.84,424.94,498.93,49.17,0.18,1,1,0.03,0.91,0.06,0.0,1,False
26.88,57.69,1009.68,3506.22,187.24,55.08,0.29,0,0,0.97,0.03,0.0,0.0,0,True
29.31,58.41,994.8,2576.25,117.15,89.08,0.27,0,0,0.81,0.19,0.0,0.0,0,True
26.39,59.48,1012.96,78.64,20.76,48.48,0.1,3,3,0.0,0.0,0.0,1.0,3,False
25.41,55.31,1012.72,99.42,94.91,55.17,0.18,3,3,0.01,0.0,0.0,0.99,3,False
23.64,60.82,1011.78,203.76,61.74,82.26,3.44,1,1,0.18,0.8,0.0,0.02,1,False
28.36,53.22,1005.01,4438.11,130.32,54.25,0.26,0,0,0.99,0.01,0.0,0.0,0,True
25.72,66.56,1011.6,136.53,92.4,79.28,5.18,1,1,0.08,0.92,0.0,0.0,1,False
23.84,75.49,1014.87,215.72,45.26,75.45,6.37,1,1,0.06,0.94,0.0,0.0,1,False
24.89,70.92,1011.06,87.81,58.02,71.3,4.65,1,1,0.16,0.81,0.0,0.03,1,False
32.17,82.14,995.36,289.23,537.59,45.27,0.13,1,1,0.0,0.99,0.01,0.0,1,False
29.19,65.82,1009.65,3571.02,177.4,62.44,0.27,0,0,0.96,0.04,0.0,0.0,0,True
25.67,60.8,1015.99,181.73,92.28,50.14,0.21,3,3,0.0,0.0,0.0,1.0,3,False
25.88,57.12,1010.34,86.05,107.44,77.63,6.34,1,1,0.05,0.94,0.0,0.01,1,False
23.32,63.92,1013.36,147.03,93.07,60.61,0.12,3,3,0.0,0.0,0.0,1.0,3,False
28.24,62.61,1007.48,2398.51,133.15,71.1,0.34,0,1,0.45,0.55,0.0,0.0,0,True
24.98,61.37,1017.62,114.0,89.38,58.18,0.14,3,3,0.0,0.0,0.0,1.0,3,False
29.41,64.17,1012.51,3852.09,187.53,56.26,0.22,0,0,0.95,0.05,0.0,0.0,0,True
26.07,61.12,1017.33,221.51,64.78,77.66,5.8,1,1,0.05,0.95,0.0,0.0,1,False
26.68,59.53,1016.36,78.84,88.22,48.43,0.2,3,3,0.0,0.0,0.0,1.0,3,False
34.12,84.17,1007.75,396.86,296.63,43.98,0.17,2,2,0.0,0.15,0.85,0.0,2,False
27.0,65.62,1013.38,106.02,48.63,49.93,0.12,3,3,0.0,0.0,0.0,1.0,3,False
27.9,50.57,1003.49,2988.56,88.5,75.86,0.29,0,0,0.9,0.1,0.0,0.0,0,True
31.88,92.05,1011.17,419.11,516.59,42.6,0.17,1,1,0.0,0.96,0.04,0.0,1,False
24.25,59.75,1013.2,129.58,57.0,47.68,0.12,3,3,0.0,0.0,0.0,1.0,3,False
25.75,66.18,1004.16,2200.61,179.11,65.16,0.33,0,0,0.59,0.41,0.0,0.0,0,True
24.1,66.95,1014.11,167.2,83.02,90.02,3.69,0,0,0.58,0.42,0.0,0.0,0,True
25.16,57.0,1009.44,103.61,50.28,49.2,0.2,3,3,0.01,0.01,0.0,0.98,3,False
24.03,68.41,1007.53,196.9,65.71,62.19,0.05,3,3,0.01,0.04,0.0,0.95,3,False
22.73,63.24,1013.57,137.55,109.45,117.96,2.99,0,0,0.97,0.03,0.0,0.0,0,True
57.97,31.91,1005.32,1002.76,567.38,80.93,0.33,0,0,1.0,0.0,0.0,0.0,0,True
27.77,58.8,1003.88,1485.4,154.04,58.77,0.23,0,1,0.49,0.51,0.0,0.0,0,True
23.04,63.74,1009.68,178.7,47.43,100.83,2.88,0,0,0.94,0.06,0.0,0.0,0,True
49.27,44.32,1005.32,515.44,325.15,80.8,0.21,0,0,0.94,0.06,0.0,0.0,0,True
24.76,66.04,1009.29,199.06,107.83,113.56,3.33,0,0,0.98,0.02,0.0,0.0,0,True
22.63,57.81,1011.58,169.39,40.07,55.93,0.17,3,3,0.0,0.0,0.0,1.0,3,False
21.15,62.23,1014.88,49.02,66.83,56.95,0.16,3,3,0.0,0.0,0.0,1.0,3,False
24.74,57.73,1010.0,142.94,79.12,60.24,0.1,3,3,0.0,0.0,0.0,1.0,3,False
24.99,64.09,1016.77,67.65,43.93,51.71,0.1,3,3,0.0,0.0,0.0,1.0,3,False
32.56,89.49,1008.55,200.36,213.29,39.03,0.07,2,2,0.0,0.09,0.91,0.0,2,False
24.16,64.15,1011.93,123.46,83.96,53.61,0.2,3,3,0.0,0.0,0.0,1.0,3,False
45.35,46.16,1005.2,315.43,540.23,68.22,0.26,0,0,0.99,0.01,0.0,0.0,0,True
24.92,60.76,1016.8,124.72,53.71,56.86,0.22,3,3,0.0,0.0,0.0,1.0,3,False
25.39,63.74,1015.86,217.73,66.97,60.62,0.25,3,3,0.0,0.01,0.0,0.99,3,False
25.26,66.75,1003.24,3667.17,93.91,75.14,0.32,0,0,0.84,0.14,0.0,0.02,0,True
23.56,64.47,1017.09,43.24,73.03,54.09,0.17,3,3,0.0,0.0,0.0,1.0,3,False
24.04,58.33,1011.19,175.8,30.46,53.41,0.2,3,3,0.0,0.0,0.0,1.0,3,False
47.51,31.68,1010.46,874.76,263.54,55.32,0.24,0,0,0.91,0.09,0.0,0.0,0,True
24.14,67.77,1013.78,197.7,42.65,55.02,0.16,3,3,0.0,0.0,0.0,1.0,3,False
24.08,62.55,1015.05,150.54,43.59,53.34,0.11,3,3,0.0,0.0,0.0,1.0,3,False
24.71,63.22,1009.47,116.11,72.17,63.25,0.19,3,3,0.0,0.01,0.0,0.99,3,False
24.67,57.96,1013.03,154.96,26.7,59.74,0.13,3,3,0.0,0.0,0.0,1.0,3,False
25.02,63.05,1011.51,128.2,66.01,79.43,4.5,1,1,0.08,0.89,0.0,0.03,1,False
38.51,31.02,1014.08,441.52,335.44,69.4,0.31,1,1,0.17,0.83,0.0,0.0,1,False
28.61,94.97,996.5,338.87,439.1,40.95,0.16,1,1,0.0,1.0,0.0,0.0,1,False
22.27,74.68,1014.68,154.44,109.65,94.36,4.09,1,1,0.28,0.72,0.0,0.0,1,False
25.9,61.5,1011.39,185.59,47.97,54.34,0.12,3,3,0.0,0.0,0.0,1.0,3,False
40.48,43.26,1005.15,455.17,545.21,69.69,0.45,0,0,0.94,0.06,0.0,0.0,0,True
25.45,64.64,1011.29,140.24,89.58,54.73,0.22,3,3,0.0,0.0,0.0,1.0,3,False
24.39,61.63,1013.42,55.52,68.7,50.84,0.15,3,3,0.0,0.0,0.0,1.0,3,False
26.21,60.21,1015.46,79.48,115.93,77.33,5.36,1,1,0.03,0.97,0.0,0.0,1,False
25.0,62.58,1013.03,189.38,37.91,47.53,0.25,3,3,0.02,0.0,0.0,0.98,3,False
27.54,62.28,1010.92,245.38,48.85,117.47,3.65,0,0,0.96,0.04,0.0,0.0,0,True
25.82,59.55,999.92,2720.07,143.58,66.39,0.32,0,0,0.92,0.07,0.0,0.01,0,True
29.68,67.06,1004.91,3412.35,146.49,59.92,0.27,0,0,0.96,0.04,0.0,0.0,0,True
40.76,33.27,1011.92,427.25,571.93,68.42,0.41,0,0,0.98,0.02,0.0,0.0,0,True
23.42,62.7,1004.28,1879.47,75.8,60.89,0.24,1,1,0.31,0.53,0.0,0.16,1,False
43.71,35.45,1007.59,308.41,390.0,80.33,0.35,1,1,0.45,0.55,0.0,0.0,0,True
24.93,64.5,1014.62,194.56,71.12,60.21,0.15,3,3,0.0,0.0,0.0,1.0,3,False
27.01,58.66,1012.33,57.13,46.23,64.47,0.09,3,3,0.01,0.0,0.0,0.99,3,False
33.06,84.86,1007.96,251.39,369.75,42.63,0.15,1,1,0.0,0.94,0.06,0.0,1,False
44.12,37.98,1013.25,429.74,299.64,86.47,0.22,1,1,0.34,0.65,0.0,0.01,1,False
32.95,84.48,1008.0,434.15,256.22,44.97,0.07,2,2,0.02,0.17,0.81,0.0,2,False
26.72,67.03,1007.63,3399.6,75.37,59.18,0.29,0,0,0.94,0.04,0.0,0.02,0,True
26.59,59.72,1009.13,162.66,46.48,69.91,0.05,3,3,0.03,0.06,0.0,0.91,3,False
24.18,65.36,1015.68,200.75,34.18,57.37,0.06,3,3,0.0,0.0,0.0,1.0,3,False
29.39,60.7,1004.62,4188.23,165.51,66.16,0.16,0,0,0.99,0.01,0.0,0.0,0,True
27.37,53.25,1000.99,4382.2,78.42,71.03,0.35,0,0,0.87,0.13,0.0,0.0,0,True
23.76,63.75,1009.51,67.51,68.0,52.88,0.1,3,3,0.0,0.0,0.0,1.0,3,False
27.29,61.11,1013.74,46.38,38.97,49.81,0.18,3,3,0.0,0.0,0.0,1.0,3,False
20.14,63.71,1016.45,162.08,38.2,49.49,0.18,3,3,0.0,0.0,0.0,1.0,3,False
21.87,76.69,1011.2,160.81,31.27,48.48,0.1,3,3,0.0,0.01,0.04,0.95,3,False
23.82,51.92,1014.98,192.94,52.37,51.42,0.12,3,3,0.0,0.0,0.0,1.0,3,False
52.25,29.28,1004.75,508.82,672.16,62.55,0.34,0,0,1.0,0.0,0.0,0.0,0,True
22.77,67.62,1010.92,232.67,125.73,76.6,3.49,1,1,0.21,0.77,0.0,0.02,1,False
27.05,66.25,1014.81,149.28,70.53,53.38,0.15,3,3,0.0,0.0,0.0,1.0,3,False
43.21,42.04,1009.57,541.75,595.67,64.57,0.44,0,0,0.96,0.04,0.0,0.0,0,True
27.76,63.46,1011.29,269.94,51.6,88.0,3.53,1,1,0.2,0.8,0.0,0.0,1,False
26.3,59.09,1009.37,141.94,119.24,100.72,4.39,0,0,0.83,0.17,0.0,0.0,0,True
23.36,56.77,1015.25,207.86,38.55,52.62,0.15,3,3,0.01,0.0,0.0,0.99,3,False
26.37,70.61,1017.47,169.43,78.08,53.73,0.06,3,3,0.0,0.0,0.0,1.0,3,False
44.53,31.2,1008.54,588.43,486.79,53.52,0.3,0,0,0.97,0.03,0.0,0.0,0,True
22.51,64.4,1013.64,232.74,77.28,57.12,0.13,3,3,0.06,0.12,0.0,0.82,3,False
24.35,61.32,1009.88,237.97,74.88,97.31,3.8,0,0,0.99,0.01,0.0,0.0,0,True
24.14,67.14,1010.67,4064.63,129.22,67.3,0.27,0,0,0.95,0.05,0.0,0.0,0,True
21.37,65.56,1008.01,138.8,59.43,108.7,4.86,0,0,0.93,0.06,0.0,0.01,0,True
30.26,67.53,1012.41,250.69,43.6,78.31,4.75,1,1,0.08,0.9,0.0,0.02,1,False
33.55,84.62,1002.77,170.0,549.51,38.35,0.16,1,1,0.0,0.97,0.03,0.0,1,False
26.59,70.45,1009.52,249.29,47.45,98.41,3.38,0,0,0.96,0.04,0.0,0.0,0,True
29.46,62.79,1011.91,265.68,89.15,80.29,3.56,1,1,0.12,0.87,0.0,0.01,1,False
19.07,69.89,1015.58,179.53,74.23,63.09,0.15,3,3,0.02,0.0,0.0,0.98,3,False
24.77,61.75,1018.78,196.04,112.56,107.26,4.52,0,0,0.88,0.12,0.0,0.0,0,True
