temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,temp_change_rate,ch4_change_rate,Hazard_Type,Risk_Level,Recommended_Action
29.55,92.93,1004.72,210.35,237.22,44.64,0.04,0.062,1.196,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
27.87,65.06,1009.57,2858.49,97.95,65.63,0.31,0.156,29.826,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
33.55,84.62,1002.77,170,549.51,38.35,0.16,0.133,0.185,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
26.13,62.62,1012.83,161.67,99.12,49.89,0.09,0.018,-1.606,Normal,Safe,Maintain Regular Monitoring
28.6,89.83,1000.33,282.62,323.6,45.31,0.12,0.051,-0.763,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
29.81,54.05,1005.79,3128.9,88.58,72.95,0.24,0.1,42.052,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
27.3,52.02,1014.58,98.28,59.04,56.07,0.24,0.002,0.757,Normal,Safe,Maintain Regular Monitoring
32.68,87.74,1002.46,207.32,478.77,44.36,0.08,0.047,3.059,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
23.89,57.77,1015.98,72.61,67.03,69.29,0.12,0.061,0.626,Normal,Safe,Maintain Regular Monitoring
27,65.62,1013.38,106.02,48.63,49.93,0.12,0.052,2.642,Normal,Safe,Maintain Regular Monitoring
25.03,63.65,1009.21,176.42,88.67,90.46,3.77,0.03,0.958,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
29.52,68.04,1008.83,219.78,87.22,85.98,4.32,-0.013,0.18,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
37.88,37,1012.93,892.9,585.3,74.8,0.23,1.909,10.986,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
55.72,41.71,1009.95,980.13,260.84,65.19,0.2,1.446,6.18,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
28.63,55.09,1003.46,1383.17,105.54,48.98,0.19,0.402,67.252,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.99,64.09,1016.77,67.65,43.93,51.71,0.1,0.038,1.662,Normal,Safe,Maintain Regular Monitoring
25.15,53.94,1019.54,93.39,91.75,48.44,0.05,-0.054,-1.015,Normal,Safe,Maintain Regular Monitoring
47.96,29.45,1007.76,825.48,589.48,72.61,0.32,2.8,8.619,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
27.24,61.38,1013.79,214.17,70.32,98.29,3.36,-0.059,2.214,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
26.12,67.82,1009.06,228.27,108.56,102.11,2.1,-0.05,-0.147,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
26.95,60.27,1017.72,96.14,66.99,91.05,5.07,-0.047,0.02,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
26.97,57.08,1011.85,156.58,62.06,45.34,0.16,-0.015,-0.147,Normal,Safe,Maintain Regular Monitoring
26.49,61.54,1012.77,4796.87,104.42,55.83,0.14,0.15,34.963,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.88,65.85,1010.04,127.35,47.02,65.05,0.25,0.012,-0.084,Normal,Safe,Maintain Regular Monitoring
46.6,38.06,1013.98,993.54,651.81,61.61,0.39,3.097,7.505,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.92,65.37,1001.47,2696.18,104.27,54.76,0.34,0.137,51.877,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
28.4,83.55,1003.83,215.82,367.88,44.07,0.15,0.011,4.178,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
24.52,53.25,1003.62,1780.49,181.9,61.46,0.31,0.184,51.423,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
27.84,65.04,1011.53,90.13,50.96,60.05,0.23,0.021,0.02,Normal,Safe,Maintain Regular Monitoring
22.65,56.61,1014.33,201.26,58.05,61.55,0.11,-0.054,0.788,Normal,Safe,Maintain Regular Monitoring
26.47,54.54,1012.93,150.71,54.37,107.65,5.06,-0.024,0.206,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
49.64,34.8,1009.28,413.91,307.91,75.83,0.38,1.517,9.672,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
23.36,56.77,1015.25,207.86,38.55,52.62,0.15,0.066,0.391,Normal,Safe,Maintain Regular Monitoring
24.18,65.28,1016.09,186.94,26.38,44.36,0.1,-0.046,1.452,Normal,Safe,Maintain Regular Monitoring
25.84,65.8,1004.19,256.01,56.05,95.32,2.79,-0.011,-0.215,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
22.47,63.08,1015.5,123.23,62.98,54.39,0.18,-0.004,1.671,Normal,Safe,Maintain Regular Monitoring
30.24,83.31,1010.6,278.13,253.78,51.27,0.11,0.137,-0.496,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
21.07,63.89,1012.88,201.14,43.76,107.25,4.4,0.02,-0.173,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
23.6,61.15,1018.11,132.15,63.37,55.5,0.16,0.022,1.135,Normal,Safe,Maintain Regular Monitoring
24.29,55.13,1016.1,67.39,78.04,46.53,0.17,0.013,0.346,Normal,Safe,Maintain Regular Monitoring
23.37,51.83,1016.8,239.68,114.51,89.28,3.33,0.008,-1.382,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
26.03,65.05,1003.8,1471.62,73.73,41.75,0.34,0.121,20.837,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
25.43,60.81,1010.91,3484.8,179.39,71.56,0.11,0.048,28.074,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
33.82,92.73,1000.04,310.07,210.08,41.38,0.07,-0.07,2.507,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23.46,59.86,1010.17,181.02,117.91,76.03,3.46,0.065,-0.749,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
28.29,66.26,1011.52,69.62,128.59,79.59,3.7,0.125,-1.232,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
26.9,72.45,1017.01,160.23,106.89,97.01,3.33,0.091,0.669,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
26.02,67.97,1004.11,4533.96,115.97,65.25,0.28,0.305,51.908,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.44,61.85,1015.53,135.48,44.73,55.19,0.19,0.055,-0.036,Normal,Safe,Maintain Regular Monitoring
25.67,61.86,1012.28,169.56,52.39,94.22,3.04,0.089,-0.884,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
37.64,38.07,1011.04,791.79,476.09,59.08,0.37,1.706,9.651,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.71,43.57,1012.74,2073.9,80.3,74.32,0.12,0.222,23.897,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
30.5,90.29,1007.01,400.67,224.84,41.31,0.16,0.059,1.918,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
24.16,61.48,1012.56,182.16,83.33,52.73,0.15,0.029,0.003,Normal,Safe,Maintain Regular Monitoring
28.71,60.91,1008.38,4323.88,119.2,53.61,0.22,0.183,37.715,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.91,61.58,1013.72,118.95,64,58.67,0.18,0.04,-0.473,Normal,Safe,Maintain Regular Monitoring
27.73,55.56,1011.46,4537.69,156.4,55.74,0.21,0.271,58.247,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.89,63.16,1015.56,132.52,63.82,44.54,0.2,0.109,-0.966,Normal,Safe,Maintain Regular Monitoring
26.43,67.06,1008.15,88.14,60.02,60.24,0.2,0.017,-0.607,Normal,Safe,Maintain Regular Monitoring
24.51,54.61,1011.74,168.25,71.48,63,0.15,0.079,2.984,Normal,Safe,Maintain Regular Monitoring
46.7,38.1,1011.58,710.5,280.3,64.73,0.38,3.318,11.473,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
23.1,62.29,1008.98,248.12,54.69,96.59,3.18,0.012,1.455,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
46.04,31.42,1008.26,477.13,454.19,70.32,0.32,2.73,11.377,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
22.38,61.74,1010.87,132.55,120.56,94.3,6.04,-0.008,-0.025,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25.82,59.55,999.92,2720.07,143.58,66.39,0.32,0.123,72.36,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
27.92,52.98,1014,66.57,42.58,57.17,0.23,0.036,1.041,Normal,Safe,Maintain Regular Monitoring
30.24,89.73,1003.95,165.15,224.92,48.09,0.1,-0.011,-0.208,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23.69,55.93,1006.58,102.22,91.93,55.26,0.14,0.001,1.359,Normal,Safe,Maintain Regular Monitoring
25.53,63,1015.88,72.86,52.64,85.56,3.89,0.097,3.09,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25,62.58,1013.03,189.38,37.91,47.53,0.25,0.019,0.446,Normal,Safe,Maintain Regular Monitoring
21.92,73.35,1007.93,90.97,78.73,76.87,6.13,-0.026,0.853,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.55,64.58,1010.26,47.24,94.84,53.09,0.14,-0.058,3.9,Normal,Safe,Maintain Regular Monitoring
32.92,82.95,1002.7,371.45,274.31,46.03,0.07,0.001,-3.369,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
27.55,65.09,1002.9,2957.79,183.28,74.79,0.22,0.114,50.88,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.18,54.81,1017.55,285.75,69.64,71.06,4.84,-0.013,-1.257,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.8,63.89,1015.29,138.93,61.89,54.25,0.17,-0.097,1.824,Normal,Safe,Maintain Regular Monitoring
38.19,40.08,1015.05,352.82,256.2,50.95,0.33,1.041,6.31,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
26.71,76.01,1013.8,138.1,48.53,94.4,4.14,0.093,-0.946,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
23.47,61.75,1009.25,1837.11,77.87,67.33,0.27,0.01,40.453,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
40.77,41.39,1015.06,1075.07,300.83,57.8,0.28,1.486,10.251,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
28.73,78.64,1009.02,134.86,54.54,90.92,4.23,0.034,-0.779,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
24.24,49.21,999.11,1247.45,107.16,57.86,0.27,0.076,47.207,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
40.26,32.21,1013.36,269.59,632.5,63.4,0.23,1.144,8.393,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
37.65,30.68,1007.56,798.04,376.24,71.42,0.23,2.557,3.163,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
31.75,88.12,1012.07,230.36,415.36,50.2,0.18,-0.068,4.345,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
23.17,57.83,1006.4,201.84,46.94,45.88,0.22,0.08,2.387,Normal,Safe,Maintain Regular Monitoring
26.34,59.33,1005.71,137.65,63.43,50.95,0.08,0.011,-2.979,Normal,Safe,Maintain Regular Monitoring
29.18,59.59,1013.52,203.83,112.67,72.73,4.51,-0.004,0.798,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
34.03,83.1,997.51,171.77,499.11,40.98,0.13,0.15,1.323,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
28.29,60.49,1000.99,3246.42,181.65,55.11,0.31,0.225,72.44,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
42.28,32.78,1006.86,918.93,245.94,68.72,0.32,2.767,5.548,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
20.33,68.79,1018.58,129.89,39.36,53.25,0.15,0,1.091,Normal,Safe,Maintain Regular Monitoring
26,58.99,1016.7,106.42,31.85,55.82,0.08,0.021,1.344,Normal,Safe,Maintain Regular Monitoring
25.94,61.54,1008.47,2465.26,149.44,79.67,0.21,0.141,28.204,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
33.48,65.37,1010.41,3471.98,83.61,68.36,0.28,0.298,79.391,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
37.21,44.41,1010,282.04,388.9,59.85,0.37,0.823,3.686,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
24.75,70.27,1015.07,215.96,61.69,66.95,0.13,0.04,0.699,Normal,Safe,Maintain Regular Monitoring
29.37,67.99,1014.26,274.74,50.58,94.76,3.89,0.047,-1.223,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25.77,57.58,1011.15,220.86,56.91,85.62,4.31,0.032,-0.664,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
22.95,56.82,1010.26,160.71,65.64,113.31,5.1,0.054,0.011,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
48.45,31.14,1010.48,803.02,629.26,81.7,0.28,3.233,9.507,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
28.99,60.62,1012.25,106.69,60.69,51.48,0.14,-0.016,-0.115,Normal,Safe,Maintain Regular Monitoring
32.82,89.2,1002.54,327.54,234.56,40.06,0.05,-0.032,2.177,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
26.46,68.14,1014.91,200.49,78.16,109.84,1.93,0.062,0.766,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
20.47,62.03,1015.79,154.34,92.53,50.85,0.16,0.024,1.731,Normal,Safe,Maintain Regular Monitoring
31.62,90.09,1005.2,334.47,374.02,39.31,0.15,0.108,-0.671,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
30.14,93.73,1009.39,171.71,509.58,41.59,0.12,0.065,1.906,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
29.27,60.38,1008.16,299.2,107.57,86.12,4.37,-0.045,1.549,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25.64,70.11,1012.4,86.02,69.34,96.06,3.32,0.021,0.16,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
48.19,46.62,1009.43,1043.63,469.5,61.9,0.31,1.181,2.008,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
28.41,61.37,1010.5,1160.86,142.45,53.19,0.14,0.11,47.437,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
27.66,57.96,1013.06,237.99,67.24,86.56,3.72,-0.038,0.385,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
30.98,85.46,1001.62,414.52,513.22,40.75,0.13,0.121,0.594,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
23.11,66.75,1017.01,148.04,29.42,55.19,0.19,0.111,-0.463,Normal,Safe,Maintain Regular Monitoring
22.44,67.45,1011.49,174.22,37.8,54.9,0.12,0.054,2.093,Normal,Safe,Maintain Regular Monitoring
31.42,57.82,1002.27,3426.44,157.26,58.09,0.17,0.138,17.647,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
28.86,95.81,1002.13,182.1,454.62,49.96,0.08,0.022,-1.965,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
24.06,54.94,1012.33,285.73,121.53,84.17,4.37,-0.066,-1.773,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
23.85,70.56,1015.33,46.94,36.31,52.63,0.23,0.012,-0.952,Normal,Safe,Maintain Regular Monitoring
49.33,41.84,1013.37,733.07,422.17,65.86,0.17,2.055,10.207,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
29.25,62.32,1003.84,903.88,106.39,61.87,0.27,0.133,49.696,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
27.39,54.22,1007.25,115.52,52.27,74.92,3.38,-0.074,1.023,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
34.81,84.71,999.94,152.54,495.33,38.45,0.17,-0.06,1.176,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
31.81,91.15,1008.9,266.12,430.06,38.63,0.05,0.223,-2.723,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
25.99,63.36,1001.58,2430.61,88.06,54.58,0.23,0.173,49.343,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
29.74,62.8,1011.16,2787.29,100.92,63.54,0.16,0.296,33.838,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.68,68.42,1016.33,119.98,68.9,48.29,0.07,0.009,-0.627,Normal,Safe,Maintain Regular Monitoring
26.9,66.64,1011.39,194.68,71.53,61.04,0.1,0.021,-0.767,Normal,Safe,Maintain Regular Monitoring
32.1,87.03,996.08,342.3,516.43,40.29,0.09,0.018,1.688,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
33.1,95.05,1001.05,233.66,533.07,38.89,0.12,0.213,1.716,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
24.3,66.59,1009.68,172.43,93.85,70.77,4.11,-0.019,-0.078,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
23.86,58.76,1013.26,277.4,86.46,73.84,6.24,0.041,0.901,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
51.6,32.01,1012.33,436.76,421.79,60.85,0.38,2.917,6.533,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
26.01,66.18,1008.43,129.32,65.19,91.97,2.73,0.037,-0.022,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
21.4,70.75,1015.38,82.98,123.03,84.21,4.4,-0.041,0.857,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
32.85,82.56,1004.26,341.01,285.22,47.48,0.15,0.147,5.649,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23.55,66.79,1012.88,138.67,58.97,52.05,0.22,-0.051,0.667,Normal,Safe,Maintain Regular Monitoring
23.91,56.77,1012.49,3386.73,99.48,63.42,0.12,0.176,33.997,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.78,66.65,1011.9,85.2,80.86,58.74,0.13,-0.038,-0.365,Normal,Safe,Maintain Regular Monitoring
31.95,58.77,1007.94,287.68,55.28,94.14,3.25,0.037,-2.077,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
45.88,39.41,1009.18,620.25,410.83,74.29,0.4,1.475,8.095,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
26.52,52.96,1016.75,124.42,41.76,56.89,0.18,-0.014,0.294,Normal,Safe,Maintain Regular Monitoring
48.89,47.52,1013.84,702.46,636.45,82.4,0.39,3.468,5.889,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
37.04,44.02,1004.97,763.72,311.33,79.91,0.38,2.149,5.052,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
26.93,50.46,1005.34,3737.86,99.06,62.93,0.17,0.071,59.023,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.09,57.93,1012.1,187.37,69.15,56.84,0.19,0.012,-0.269,Normal,Safe,Maintain Regular Monitoring
57.2,38.78,1007.72,848,516.63,65.45,0.26,3.368,2.222,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
27.98,58.63,1003.45,2960.17,168.86,55.43,0.13,0.257,41.947,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.28,70.76,1010.6,253.3,50.13,102.3,3.44,-0.049,-1.139,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.27,58.04,1002.62,4073.33,166.31,59.75,0.22,0.296,35.171,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
29.65,92.23,999.42,162.1,242.22,38.1,0.06,-0.011,0.077,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
41.3,46.72,1002.12,992.38,401.7,70.35,0.25,1.36,5.778,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
42.97,41.55,1012.16,306.01,307.99,56.23,0.27,3.33,5.773,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
32.65,85.57,1001.6,202.2,468.66,38.22,0.12,0.011,1.259,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
22.24,49.02,1010.46,2015.68,158.01,60.05,0.12,0.229,77.846,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.75,51.86,1010.54,146.86,62.99,46.56,0.21,-0.023,0.73,Normal,Safe,Maintain Regular Monitoring
27.78,64.16,1014.82,88.18,67.44,49.47,0.18,0.042,-1.144,Normal,Safe,Maintain Regular Monitoring
27.13,62.71,1015.81,95.41,54.68,113.79,1.87,0.03,-1.023,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
49.45,41.92,1014.99,541.1,269.66,69.02,0.31,2.804,7.097,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
23.59,54.71,1007.76,84.76,66.84,121.18,4.77,0.046,-1.54,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
24.14,67.84,1014.7,167.96,37.5,51.03,0.22,0.097,2.006,Normal,Safe,Maintain Regular Monitoring
23.27,66.1,1010.35,63.82,40.49,48.86,0.13,-0.143,1.935,Normal,Safe,Maintain Regular Monitoring
21.7,69.83,1015.42,172.89,80.25,54.91,0.19,0.006,-1.183,Normal,Safe,Maintain Regular Monitoring
26.78,66.67,1010.74,4022.15,121.82,73.22,0.3,0.27,49.046,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
46.18,43.7,1009.79,948.34,475.06,67.07,0.44,2.833,10.112,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.36,59.79,1005.96,3404.15,169.6,50.95,0.18,0.222,34.735,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.7,60.27,1009.5,1373.79,98.01,58.73,0.21,0.359,46.313,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
33.53,90.66,1005.41,183.93,263.15,44.12,0.1,0.091,4.101,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
22.45,60.06,1014.4,107.46,65.93,49.03,0.22,0.017,-1.542,Normal,Safe,Maintain Regular Monitoring
25.38,61.13,1004.85,4638.98,155.88,63.63,0.3,0.272,46.494,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
28.29,67.84,1011.99,185,83.07,103.45,2.51,-0.085,0.393,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.73,59.77,1005.38,1377.39,75.75,45.6,0.29,0.351,25.49,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
48.58,33.07,1011.44,443.85,225.3,65.25,0.19,3.462,5.086,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
28.91,84.79,1001.95,326.31,231.77,50.07,0.17,0.025,-2.191,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
25.09,64.3,1007.26,109.64,98.86,80.41,3.79,-0.03,0.623,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
27.76,65.29,1016.45,64.1,100.51,57.26,0.13,-0.027,0.366,Normal,Safe,Maintain Regular Monitoring
25.75,70,1010.11,298.95,62.74,80.92,4.92,-0.036,-0.924,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.49,58.71,1009.54,1186.54,148.01,67.62,0.26,0.214,80.249,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.35,66.68,1015.53,49.82,42.19,53.11,0.14,0.033,-1,Normal,Safe,Maintain Regular Monitoring
27.42,55.62,1000.89,2071.83,103.68,68.2,0.17,0.218,27.987,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
28.28,70.62,1008.65,120.53,126.03,93.08,4.71,0.058,-0.163,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
29.37,53.04,1006.98,2534.3,134.49,61.63,0.3,0.161,62.603,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.81,63.21,1013.32,180.42,61.03,52.59,0.23,0.072,0.403,Normal,Safe,Maintain Regular Monitoring
48.89,41.48,1011.99,588.35,456.27,75.6,0.39,1.809,5.881,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.96,58.49,1008.05,149.73,41.39,57.91,0.22,0.061,0.898,Normal,Safe,Maintain Regular Monitoring
29.78,56.86,1008.07,112.91,50.2,49.47,0.22,0.03,-0.094,Normal,Safe,Maintain Regular Monitoring
23.62,56.87,1012.92,178.88,86.54,45.96,0.14,0.037,1.09,Normal,Safe,Maintain Regular Monitoring
28.22,62.79,1015.66,173.9,54.66,57.48,0.15,-0.028,2.674,Normal,Safe,Maintain Regular Monitoring
